ZIP,NAME,FACILITY_TYPE,latitude,longitude
33054,Rainbow Park Elementary,Public School,25.91464,-80.23187
33157,Bel-Aire Elementary,Public School,25.58789,-80.35582
33142,Maya Angelou Elementary,Public School,25.80531,-80.22677
33030,South Dade Senior High,Public School,25.50137,-80.46048
33165,Southwest Miami Senior High,Public School,25.72204,-80.33815
33134,Coral Gables Preparatory Academy,Public School,25.75414,-80.25782
33170,Pine Villa Elementary,Public School,25.56442,-80.38094
33018,Hialeah Gardens Senior High,Public School,25.87968,-80.35386
33178,Dr. Rolando Espinosa K-8 Center,Public School,25.85127,-80.3804
33055,Carol City Elementary,Public School,25.93335,-80.27156
33018,West Hialeah Gardens Elementary,Public School,25.88184,-80.34812
33127,Shadowlawn Elementary,Public School,25.82096,-80.19877
33135,Shenandoah Elementary,Public School,25.76279,-80.22818
33157,Southwood Middle,Public School,25.61952,-80.32207
33169,Norland Elementary,Public School,25.95185,-80.21636
33196,Norma Butler Bossard Elementary,Public School,25.63201,-80.45262
33030,Redondo Elementary,Public School,25.48335,-80.49146
33175,W. R. Thomas Middle,Public School,25.74479,-80.40559
33155,David Fairchild Elementary,Public School,25.7296,-80.28739
33176,Richmond Heights Middle,Public School,25.62968,-80.3596
33142,Juvenile Justice Center,Public School,25.80638,-80.24054
33136,Chapman Partnership Early Childhood Center North,Public School,25.78993,-80.1952
33139,Miami Beach Adult & Community Education Center,Public School,25.78641,-80.13327
33161,W.J. Bryan Elementary,Public School,25.89129,-80.17347
33165,Rockway Elementary,Public School,25.74404,-80.34637
33183,Miami Sunset Senior High,Public School,25.70156,-80.40422
33187,Herbert A. Ammons Middle,Public School,25.60436,-80.44579
33161,North Miami Elementary,Public School,25.90889,-80.18619
33147,Educational Alternative Outreach Program,Public School,25.83249,-80.2417
33183,Kendale Lakes Elementary,Public School,25.69231,-80.42572
33016,Ben Sheppard Elementary,Public School,25.87422,-80.33175
33177,Transportation Center Administrative Offices,Public School,25.62436,-80.38095
33032,Coconut Palm K-8 Academy,Public School,25.54131,-80.39341
33173,Maintenance Operations Plant Operations Center,Public School,25.69197,-80.37176
33165,Southwest Miami Adult Center,Public School,25.72204,-80.33815
33165,Rockway Middle,Public School,25.74247,-80.34768
33133,George Washington Carver Elementay,Public School,25.72722,-80.25896
33054,Bunche Park Elementary,Public School,25.9204,-80.23837
33179,Andover Middle,Public School,25.96623,-80.19921
33169,Scott Lake Elementary,Public School,25.93429,-80.22
